document,text
P,"Seorang pejabat dari Federasi Sepak Bola Pakistan mengatakan dalam kelompok itu, 81 orang akan ditempatkan di markas federasi di kota timur Lahore. Sejauh ini 34 orang akan tiba hari Kamis, jelasnya.Para pemain akan menetap di Pakistan di bawah penjagaan ketat selama 30 hari sebelum ke penampungan di negara ketiga, jelas pejabat tersebut seperti dilansir dari laman BBC, Kamis (16/9).The Independent belakangan mengungkapkan para pemain sepak bola itu menulis surat kepada Perdana Menteri Pakistan Imran Khan untuk meminta izin segera masuk ke negaranya.Surat tersebut menyebutkan mereka dalam risiko ""ancaman serius"" dari Taliban.Setelah kejatuhan Kabul pada bulan lalu, para pemain diingatkan oleh kapten tim national, Khalida Popal, untuk menghapus foto-foto mereka bermain di media sosial dan membakar peralatan untuk melindungi diri dari potensi balasan dari rezim yang baru."
Q,"Sekolah masa depan menggabungkan pembelajaran secara luring (luar jaringan) dan daring (dalam jaringan). Istilah populernya adalah blended learning.“Perkembangan teknologi yang pesat membuat anak semakin banyak berinteraksi dengan aktivitas daring yang cukup beragam,” ujar Praktisi pendidikan Laksmi Mayesti, di Jakarta, Minggu (22/8). Selain mendapatkan pengalaman belajar secara daring, siswa juga perlu mendapatkan pengalaman belajar secara luring. Pertemuan tatap muka secara langsung dengan guru dan siswa akan tetap menjadi kebutuhan pokok anak. Tujuan untuk menyeimbangkan kebutuhan sosialnya dan kognitifnya. Sehingga para siswa bisa benar-benar merasakan pengalaman sistem belajar campuran tersebut. “Sekolah perlu memberikan ruang untuk belajar secara langsung bersama fasilitator pendamping dan teman sekolah,” imbuhnya. Kelas luring, lanjutnya, perlu dilengkapi bahan ajar dan alat peraga atau praktikum yang lengkap. Sehingga para siswa mendapatkan pengalaman belajar tatap muka yang lebih optimal. Dia bertekad memajukan pendidikan Indonesia melalui sistem belajar campuran. “Anak mempunyai kesempatan mengeksplorasi belajar daring secara luas sesuai minatnya. Tetapi juga mendapatkan kesempatan untuk mengembangkan kebutuhan dan keterampilan sosial lewat pertemuan luring dengan guru dan teman,” pungkas Laksmi."
R,"Facebook, Instagram, dan WhatsApp down secara bersamaan tanpa diketahui penyebabnya.Berdasarkan laporan dan protes di Twitter, peristiwa ini nampaknya tidak hanya terjadi di wilayah Indonesia, namun juga di berbagai negara. Meski begitu, ada satu hal yang menarik yang ditemukan dari jutaan tweet terkait WhatsApp down yang muncul di lini masa.Pantauan Nextren melihat ada sejumlah netizen suudzon ke IndiHome saat WhatsApp down. Para warganet banyak yang menuduh IndiHome adalah dalang dari kendala yang terjadi pada Senin (4/10) malam tersebut. Kebanyakan dari mereka mengaku bahwa dugaan tersebut merujuk pada kasus IndiHome yang error pada beberapa waktu lalu. Penasaran dengan cuitan netizen yang menuding IndiHome sebagai dalang masalah ketika WhatsApp down? Simak rangkuman tweet yang Nextren kutip berikut ini. Ahmad Reza, selaku SVP Corporate Communication & Investor Relation Telkom, menuturkan bahwa sistem komunikasi laut sedang bermasalah. Kendala itu terjadi untuk sistem komunikasi laut yang ada Jawa, Sumatera, dan Kalimantan (Jasuka) ruas Batam - Pontianak. Alhasil, kualitas layanan internet di sejumlah daerah tersebut pun menurun. Reza mengatakan, ""Saat ini kami sudah langsung melakukan rerouting trafik sebagai alternatif jalur komunikasi menuju Batam, sehingga kualitas layanan dapat segera kembali normal sebelum tengah malam ini,"" dikutip dari Kompas, Senin (10/4)."
S,"Manchester United gagal meraih poin penuh saat menjamu Everton di laga pekan ketujuh Liga Inggris 2021-2022 pada Sabtu 2 Oktober 2021 malam WIB. Pada laga yang berakhir 1-1 itu, Ole Gunnar Solskjaer pun disalahkan karena mencadangkan Cristiano Ronaldo. Meski begitu, Solskjaer merasa tak bersalah sama sekali karena mencadangkan Ronaldo. Menurutnya mengistirahatkan Ronaldo dan memainkan pemain lain merupakan keputusan yang tepat. Pada pertandingan yang berlangsung di Stadion Old Trafford, pelatih asal Norwegia itu melakukan rotasi pada skuadnya. Di lini depan Edinson Cavani dan Anthony Martial dipercaya tampil sebagai starter. Cavani dan Martial menggantikan peran Ronaldo dan Jadon Sancho yang dalam beberapa laga terakhir selalu menjadi starter. Dengan keputusan berani Solskjaer itu The Red Devils –julukan Man United- mampu unggul lebih dulu melalui gol yang di cetak oleh Martial pada menit ke-43. Akan tetapi, di babak kedua Everton berhasil menyamakan kedudukan pada menit ke-65. Melalui gol serangan balik cepat Andres Townsend. Alhasil gol tersebut menjadi yang terakhir sekaligus menutup laga menjadi sama kuat 1-1. Megabintang Man United, Cristiano Ronaldo baru bermain pada menit ke-57 menggantikan Cavani. Padahal, pemain berusia 36 tahun itu adalah pencetak gol terbanyak Man United musim ini dengan lima gol dari lima pertandingan di semua kompetisi. Ronaldo sendiri telah tampil selama 33 menit pada pertandingan tersebut. Namun, ia tidak mampu berbuat banyak dan membantu timnya meraih kemenangan."
T,"Suara.com - Sejak Senin malam (4/10/2021) WhatsApp, Facebook, dan Instagram down secara global. Menariknya, tidak hanya tiga aplikasi itu yang menjadi topik panas di tengah warganet +62, tapi juga Indihome. Tidak ada gangguan Indihome kali ini. Tapi entah mengapa, warganet +62 tetap mengaitkannya ke pemadaman global WhatsApp, Facebook, dan Instagram kali ini. Dari pantauan Suara.com, hingga berita diturunkan Indihome menjadi trending topic Twitter, dibicarakan hingga lebih dari 25.700 cuitan. Berbagai komentar lucu hingga meme kocak pun menghiasi timeline Twitter dari warganet +62. Bahkan, tidak sedikit warganet yang sempat suudzon dengan Indihome karena tidak bisa mengirim pesan lewat WhatsApp, melihat postingan terbaru di Instagram dan Facebook. Pemadaman global pada WhatsApp, Instagram, dan Facebook terjadi lebih dari tujuh jam. Kini semua mulai pulih kembali dan CEO Facebook Mark Zuckerberg pun sudah menyampaikan permohonan maafnya melalui akun resminya."
U,"Startup wealthtech Ajaib mengonfirmasi kabar mengenai PHK. Dalam keterangan resmi yang disampaikan hari ini (29/11), Ajaib merumahkan 67 karyawan atau 8% dari total karyawan. Tidak disebutkan tim mana saja yang terdampak langkah efisiensi tersebut.Perwakilan manajemen Ajaib menyampaikan, dalam tiga tahun terakhir, perusahaan telah meningkatkan inklusi keuangan Indonesia melalui layanan jasa keuangan digital. Seluruh dampak positif dan perkembangan Ajaib sebagai perusahaan tidak terlepas dari dedikasi dan kerja keras tiap tim.“Strategi perusahaan juga terus diadaptasi agar Ajaib dapat berkembang secara berkelanjutan. Untuk memastikan kesiapan perusahaan menghadapi kondisi makroekonomi yang tidak menentu, kami terpaksa melakukan perampingan karyawan yang berdampak ke 67 karyawan,” ucap perwakilan Ajaib. Pegawai yang di-PHK akan mendapat kompensasi sesuai aturan perundang-undangan, serta tambahan bonus pesangon sebesar satu bulan untuk setiap tahun masa kerja, asuransi kesehatan bagi karyawan dan keluarga selama enam bulan ke depan, konseling, dan dukungan pencarian kerja. Di samping itu, jajaran manajemen Ajaib akan mengurangi gaji mereka secara sukarela dan para founder tidak akan menerima gaji. Langkah tersebut diharapkan tidak berdampak berdampak ke kelangsungan perusahaan dan layanan kepada nasabah Ajaib."
V,"Balikpapan – Institut Teknologi Kalimantan menginformasikan mengapa pentingnya bagi masyarakat untuk melakukan vaksin Booster. Vaksin Booster disebut juga vaksin dosis ketiga yang diberikan sebagai upaya untuk memutuskan rantai penularan COVID-19. Tujuannya dengan meningkatkan imunitas tubuh dalam melawan virus Corona. Dosis ketiga ini dinilai dapat meningkatkan efektivitas vaksin COVID-19 yang sebelumnya sudah diberikan. Menurut Indonesia Technical Advisory Group on Immunization (ITAGI) memberikan alasan mengapa pentingnya harus melakukan vaksin booster: Antibodi menurun dalam 6 bulan vaksinasi dan bersamaan dengan munculnya varian baru COVID-19. Pandemi belum berakhir dan belum diketahui kapan berakhir, sehingga diharuskan masyarakat memiliki imunitas yang tinggi. Semua masyarakat Indonesia berhak mendapat akses pada vaksin di seluruh Indonesia. Tentunya oleh sebab itu bagi masyarakat dan seluruh civitas akademik Institut Teknologi Kalimantan jangan lupa melakukan vaksinasi dosis 3 untuk menjaga imunitas tubuh. Tentu saja tubuh butuh proteksi lebih."
W,"Ruangguru telah melakukan layoff terhadap ratusan karyawannya. Tanpa menyebut angka pasti, pihak perusahaan telah mengonfirmasi kabar ini pada akhir pekan lalu. Tentu ini menambah daftar panjang startup teknologi lokal yang melakukan PHK dengan dalih efisiensi bisnis (menuju profitabilitas). Sebagai platform edtech dengan layanan terlengkap, Ruangguru menjadi startup yang cukup disorot selama pandemi. Layanannya dinilai efektif untuk pembelajaran daring, terbukti mereka berhasil membukukan 22 juta pengguna pada tahun 2020 lalu. Perusahaan juga mengatakan, tahun 2021 mereka mencapai Net Promoter Score (NPS) tertinggi di semua kategori produk dan pertumbuhan pendapatan berlipat ganda, menandai tahun pertamanya di titik profitabilitas. Anak usaha Ruangguru, yakni Skill Academy juga menjadi platform yang paling laris memfasilitasi program peningkatan kompetensi dari pemerintah dalam Kartu Pra-Kerja. Dari tren pertumbuhan tersebut, akhirnya Ruangguru melakukan perekrutan besar-besaran, dengan harapan tetap bisa mempertahankan dan meningkatkan growth. Namun kondisi sosial dan ekonomi yang sangat dinamis pasca-pandemi, justru memberikan dampak yang kurang baik untuk ""kesehatan"" perusahaan. Dua co-founder Ruangguru (Belva dan Iman) dalam keterangan resminya mengatakan: ""Di awal pandemi, layanan Ruangguru mengalami peningkatan permintaan yang besar yang berujung pada rekrutmen yang terlalu banyak dan terlalu cepat dalam dua tahun terakhir. Ditambah lagi, situasi ekonomi global belakangan ini memburuk secara drastis dan berada pada titik terendah dalam puluhan tahun terakhir, terlihat dari tingginya angka inflasi dan kenaikan suku bunga yang membuat iklim investasi dunia memburuk secara signifikan. Hal ini berdampak luas kepada komunitas startup teknologi global, termasuk kami di Ruangguru."""
X,"Jagad dunia maya digemparkan oleh berita Shopee yang melakukan lay-off terhadap sejumlah karyawannya. Setelah badai startup global yang melakukan aksi PHK sepanjang tahun 2022, kini giliran startup e-commerce terbesar di Tanah Air yang mengikuti langkah serupa. Tidak diketahui dengan pasti sebenarnya berapa banyak karyawan Shopee yang diberhentikan. Namun berdasarkan informasi yang diterima CNBC Indonesia, ada sekitar 3% karyawan yang terdampak. Apabila total karyawan Shopee mencapai 6.000 orang, artinya ada sekitar 186 orang yang dirumahkan. Menariknya, jumlah tersebut jauh dari data yang masuk ke daftar milik akun komunitas karyawan startup, Ecommurz. Jumlah ex-karyawan Shopee yang mengisi daftar pencari kerja yang disediakan mencapai 515 nama. PHK yang dilakukan Shopee sebenarnya bukan hal baru karena sudah dilakukan di berbagai negara lain juga.Shopee telah menutup kantornya di sejumlah negara Amerika Latin. Laporan Reuters mengutip tiga sumber mengatakan perusahaan menutup operasional lokal di Cile, Kolombia, dan Meksiko, bahkan menutup seluruhnya di Argentina. Gonjang-ganjing soal PHK Shopee secara global sudah mulai berhembus sejak Juni tahun ini, tempat Shopee dilaporkan akan melakukan PHK skala besar di beberapa pasar utama, termasuk Indonesia."
Y,"Layanan WhatsApp down yang dilaporkan terjadi sejak Selasa (25/10/2022) siang, kini diketahui sudah berangsur normal. Berdasarkan pantauan Tekno Liputan6.com, akses ke layanan WhatsApp kini sudah bisa dilakukan. WhatsApp kini kembali bisa diakses melalui aplikasi maupun situs web. Saat dicoba untuk berkirim pesan, baik secara pribadi maupun dalam grup, pesan sudah bisa diterima. Kembalinya layanan WhatsApp ini terjadi tidak beberapa lama setelah Meta mengetahui adanya masalah di layanan aplikasi chatting tersebut. Dalam keterangannya, perusahaan memastikan akan secepat mungkin mengatasinya. ""Kami menyadari beberapa orang saat ini mengalami masalah saat mengirimkan pesan dan kami tengah berupaya memulihkan WhatsApp untuk semua orang secepat mungkin,"" tutur juru bicara Meta pada TechCrunch. Meski sudah kembali normal, penyebab matinya akses aplikasi chatting ini belum diketahui. Hanya informasi WaBetaInfo yang dikutip dari Tech Crunch, menyebut penyebab tumbangnya layanan WhatsApp kali ini karena persoalan server. Sebagai informasi, ini merupakan kejadian WhatsApp tumbang pertama sejak layanan sempat mengalami hal serupa tahun lalu. Bahkan ketika itu, tidak hanya WhatsApp, layanan lain milik Meta, seperti Instagram, Messenger, Oculus, dan Facebook juga ikut tumbang. Pemadaman itu memakan waktu hampir enam jam sebelumnya WhatsApp kembali online. Meta, yang dikenal sebagai Facebook ketika itu, mengatakan pemadaman besar-besaran disebabkan oleh perubahan konfigurasi pada routernya. WhatsApp eror memang relatif jarang, tetapi ketika terjadi, implikasinya terbilang besar untuk komunikasi di seluruh dunia. Sebab, layanan ini digunakan oleh lebih dari dua miliar orang setiap bulan."
Z,"Pemprov DKI Jakarta menggelar vaksinasi COVID-19 malam hari di 44 puskesmas di kecamatan DKI. Kegiatan ini digelar untuk menggenjot capaian vaksinasi booster kedua. Hal ini disampaikan oleh Dinas Kesehatan DKI Jakarta melalui Instagramnya @dinkesdki. Vaksinasi diselenggarakan pada Senin-Jumat pukul 16.00-20.00 WIB. ""Vaksinasi COVID-19 sore dan malam hari? Ada dong di Jakarta! Serempak di 44 Puskesmas kecamatan DKI Jakarta atau lokasi lain yang disediakan,"" demikian keterangan dari @dinkesdki seperti dilihat, Kamis (8/12/2022). ""Untuk usia 6 tahun ke atas sesuai ketentuan,"" jelasnya. Sementara itu, Kepala Puskesmas Sawah Besar Lusi Widiastuti menyampaikan kegiatan vaksinasi COVID-19 di lokasinya dimulai sejak pekan lalu. Setiap harinya, tenaga kesehatan (nakes) menyuntikkan 11-20 dosis vaksin. ""Selama ini tidak lebih dari 20 malam hari, rata-rata segitu,"" terangnya. ""Memang saat ini untuk menguatkan booster lansia kedua, terutama buat orang tua atau lansia yang pengantarnya bekerja. Jadi kami fasilitasi malam hari,"" ujarnya. Merujuk situs Kementerian Kesehatan RI, sejauh ini capaian dosis pertama di DKI Jakarta sebanyak 12.627.476 atau 134,58 persen. Sedangkan dosis dua 10.906.730 atau 116,24%. Sejauh ini, baru 6,1% dari target 761.297 lansia yang menerima vaksinasi booster kedua. Sedangkan untuk nakes cakupannya mencapai 66,02 persen."
AA,"Gol kedua Jepang dalam pertandingan melawan Spanyol pada laga terakhir Grup E Piala Dunia 2022 menimbulkan kontroversi. Duel Jepang vs Spanyol di Piala Dunia 2022 yang berlangsung di Stadion Internasional Khalifa, Ar-Rayyan, Qatar, Jumat (2/12/2022) dini hari WIB, tuntas dengan skor 2-1. Gol-gol Jepang dibukukan oleh Ritsu Doan pada menit ke-48 dan Ao Tanaka (51'). Sementara itu, satu gol Spanyol tercipta berkat sundulan Alvaro Morata (11'). Akan tetapi, gol kedua Jepang yang membuat Spanyol kalah menghadirkan kontroversi. Baca juga: Hasil Piala Dunia 2022: Jepang-Spanyol ke 16 Besar, Jerman dan Belgia Tersingkir Dalam prosesnya, gol kedua Jepang tercipta dari umpan silang Ritsu Doan ke dalam kotak penalti. Kaoru Mitoma lalu menyambarnya dan dituntaskan oleh Ao Tanaka. Wasit sempat memeriksa VAR (Video Assistant Referee) karena ada indikasi bola sudah keluar atau melewati garis sebelum disambut Kaoru Mitoma. Meski demikian, VAR memutuskan gol Tanaka sah. FIFA menjelaskan bahwa gol tersebut sah karena bola belum sepenuhnya melewati garis putih. ""Gol kedua Jepang harus dicek oleh VAR, tetapi Mitoma melakukan umpan silang yang cukup untuk Tanaka sebelum seluruh bola melewati garis,"" tulis pernyataan FIFA."
AB,"Tragedi di Stadion Kanjuruhan Malang terjadi pasca-pertandingan Arema FC vs Persebaya pada hari Sabtu (1/10/2022). Diketahui, insiden tersebut menyebabkan seratusan korban meninggal dunia. Berikut ini beberapa hal yang diketahui terkait tragedi Stadion Kanjuruhan Malang sejauh ini. ""Terkait dengan proses pertandingan tidak ada permasalahan, semuanya selesai. Permasalahan terjadi pada saat setelah selesai, terjadi kekecewaan dari para penonton yang melihat tim kesayangannya tidak pernah kalah selama 23 tahun bertanding di kandang sendiri,"" kata Nico dalam konferensi pers di Polres Malang, seperti dilansir detikJatim, Minggu (2/10/2022). Nico mengatakan karena suporter kecewa timnya kalah, mereka lalu turun ke tengah lapangan dan berusaha mencari para pemain dan ofisial untuk melampiaskan kekecewaannya. ""Oleh karena pengamanan melakukan upaya-upaya pencegahan dan melakukan pengalihan supaya mereka tidak masuk ke dalam lapangan mengincar para pemain,"" ujarnya. Polisi lalu menembakkan gas air mata karena para suporter anarkis. Aremania, kata Nico, menyerang petugas kepolisian hingga merusak sejumlah fasilitas stadion. ""(Lalu) Mereka pergi keluar di satu titik, di pintu keluar yaitu kalau nggak salah pintu 10.. kemudian terjadi penumpukan. Di dalam proses penumpukan itulah terjadi.. kurang oksigen yang oleh tim medis dan tim gabungan ini dilakukan upaya penolongan yang ada di dalam stadion kemudian juga dilakukan evakuasi ke beberapa rumah sakit,"" terang Nico."
AC,"Salah satu karyawan Tokopedia bercerita apa yang dilakukannya usai diumumkan pemutusan hubungan kerja (PHK) pada Jumat lalu. Saat itu, pihak manajemen PT GoTo Gojek Tokopedia Tbk. berjanji akan mengirimkan surat elektronik atau email pengumuman PHK hanya kepada karyawan yang terkena efisiensi tersebut. Perusahaan sebelumnya menyatakan email akan dikirim dalam rentang waktu pukul 6 petang hingga 10 malam hari Jumat itu. ""Jadi kami (karyawan) refresh terus email tuh buat cek sampai malam,"" tutur salah satu karyawan Tokopedia saat dihubungi Tempo pada Sabtu, 19 November 2022. Ia lalu memilih menunggu kabar itu di rumah sambil terus menerus berkomunikasi dengan timnya. Hatinya pilu ketika satu per satu rekan kerjanya memberi tahu bahwa mereka ikut terdampak PHK. Ada yang mendapat e-mail pukul 7, ada juga yang nyaris pukul 10 malam. ""Aku terus bantu nguatin dan ikhlas bareng-bareng."" Hingga akhirnya pukul 10 malam, ia mulai tenang karena tak ada email yang datang. Artinya dia lolos dari pemangkasan terhadap total 1.300 karyawan GoTo ini. Meski begitu, ia kebingungan karena jumlah anggota timnya berkurang drastis. Apalagi karyawan kontrak dan tenaga magang telah dipastikan tidak akan diperpanjang masa kerjanya. Padahal sebelumnya, kontrak tenaga magang disebut bisa berlanjut maksimal satu tahun. Ketika mengetahui satu per satu rekannya yang terkena PHK, ia mengaku terkejut. Pasalnya, pemangkasan dilakukan tidak hanya pada level junior, melainkan beberapa karyawan dengan jabatan yang tinggi. Selain itu, pemangkasan karyawan juga terjadi di divisi teknologi, yang punya peran sangat signifikan dalam kegiatan kerja di Tokopedia. ""Ini memang clueless, sih,"" ucapnya. Namun saat berdiskusi dengan rekan-rekannya, ia memahami alasan perusahaan memutuskan hubungan kerja karena proyek kerja mereka tak sesuai dengan arah bisnis grup GoTo yang baru. Hingga saat ini, ia tak mengetahui secara pasti siapa saja atau berapa jumlah total karyawan Tokopedia yang terkena PHK. Dari yang dia dengar, PHK dilakukan di seluruh divisi, termasuk pada karyawan asing di perusahaan grup GoTo. Dalam hal ini, ia menilai perusahaan sangat ketat dalam merahasiakan informasi soal PHK ini kepada karyawan-karyawannya. Bahkan sebagian besar informasi soal siapa saja yang terdampak, lebih banyak ia ketahui dari akun Linkedln rekan-rekannya. ""Kami tahu biasanya hanya dari teman atau dia update di LinkedIn,"" ujarnya."
AD,"Maroko menyingkirkan Spanyol di Piala Dunia Qatar 2022. Achraf Hakimi mencetak gol yang menentukan dalam adu penalti Selasa (6/12/2022). Ini untuk mengirim Maroko ke perempat final pertama kalinya dalam sejarah. Sebelumnya, Maroko menahan imbang Spanyol, tanpa gol. Pelatih Spanyol Luis Enrique mengklaim bahwa dia memberi para pemainnya ""pekerjaan rumah"" dengan mengambil masing-masing 1.000 penalti. Namun Pablo Sarabia, Carlos Soler dan Sergio Busquets semuanya gagal. ""Penalti merugikan kami, tetapi saya bangga dengan tim saya,"" kata Luis Enrique, dikutip AFP. ""Saya mengambil semua tanggung jawab karena saya memilih tiga pemain pertama dan para pemain memutuskan sisanya - kami tidak mencapai yang keempat,"" tambahnya. ""Bounou (kiper Maroko) adalah penjaga gawang yang hebat dalam hal adu penalti dan hari ini dia luar biasa."" Sebelumnya, Spanyol berharap mereka bisa mengulangi kemenangan Piala Dunia 2010 setelah mencapai semifinal Euro 2020. Di mana mereka juga dikalahkan melalui adu penalti oleh Italia. Maroko sebelumnya mencetak rekor terbaik di Piala Dunia 1986, meski tersingkir di babak 16 besar. Kemungkinan mereka akan menghadapi Portugal atau Swiss."
AE,"Tembakan gas air mata dari aparat telah menyebabkan ratusan suporter bola kehilangan nyawa di Stadion Kanjuruhan Malang pada 1 Oktober 2022, tepat sebulan silam. Semua menyebut peristiwa itu sebagai Tragedi Kanjuruhan Malang. Setidaknya sudah 135 korban Tragedi Kanjuruhan dinyatakan tewas. Masih ada sejumlah orang dirawat intensif di rumah sakit. Belum lagi, para korban yang mengalami luka dan membekas hingga kini. Tim Gabungan Independen Pencari Fakta (TGIPF) yang dibentuk oleh Presiden Joko Widodo telah menerbitkan laporan. Namun itu seperti tak berarti. Kasus yang menyebabkan ratusan nyawa melayang itu hingga kini seperti mandek jalan di tempat. Tragedi Kanjuruhan terjadi usai pertandingan lanjutan BRI Liga 1 antara Arema FC vs Persebaya Surabaya. Laga yang dikenal sebagai derby Jatim itu berakhir dengan kemenangan tim tamu, Sabtu (1/10) malam. Sejumlah suporter kemudian ada yang turun ke lapangan ketika tim dan ofisial Arema FC menghampiri tribun untuk meminta maaf kepada para pendukungnya karena kekalahan tersebut. Komnas HAM menyebut peristiwa dimulai sekitar pukul 22.08.59 WIB atau kira-kira 20 menit setelah peluit pertandingan selesai dibunyikan. Pada menit itulah gas air mata pertama ditembakkan aparat untuk menghalau suporter di lapangan. Namun, bukan hanya di lapangan, dari rekaman yang beredar terlihat pula gas air mata itu ditembakkan ke arah tribun penonton. Para suporter di tribun panik, mereka berhamburan berdesak-desakan ke arah pintu keluar yang terbatas sambil menahan rasa perih di mata."
AF,"Kapolri Jenderal Listyo Sigit Prabowo memaparkan kronologi kejadian tragedi Kanjuruhan Malang pascalaga Arema FC va Persebaya Surabaya pada 1-2 Oktober 2022 yang menewaskan 131 orang. “Berdasarkan hasil pemeriksaan tim dan pendalaman, ada beberapa hal yang harus saya sampaikan sebagai bagian kronologis,” kata Kapolri saat konferensi pers, Kamis malam, 6 Oktober 2022. Pada 12 September 2022, Panitia Pelaksana Arema FC mengirim surat kepada Polres Malang terkait permohonan rekomendasi pertandingan Arema FC vs Persebaya dilaksanakan 1 Oktober 2022 pukul 20.00 WIB. Namun Polres meminta panitia mengubah jadwal menjadi pukul 15.30 WIB karena pertimbangan faktor keamanan. Namun ini ditolak PT Liga Indonesia Baru (LIB) karena alasan masalah penayangan siaran langsung hingga kerugian ekonomi. “Oleh karena itu, Polres menyiapkan 2.034 personel dari awal rencana 1.073 dan hanya suporter Aremania yang diperbolehkan hadir,” ujar Kapolri. Laga Arema FC vs Persebaya berjalan pada pukul 20.00 WIB dengan skors 3-2 untuk kemenangan Persebaya. Suporter kemudian masuk lapangan usai laga sehingga aparat melakukan pengamanan mengerahkan empat unit barakuda untuk ofisial dan pemain Persebaya. “Evakuasi berjalan lancar hampir sejam karena sempat ada penghadangan dari massa. Namun evakuasi yang dipimpin Kapolres Malang berjalan lancar,” katanya."